,Accuracy,Precision,Recall,F1 Score
NB (BoW),0.885384309040223,0.8739521414418534,0.9035612984557201,0.8885101107925931
NB (TF-IDF),0.8897650338510553,0.885248447204969,0.898361172392058,0.891756608790865
NB (Word2Vec-Avg),0.7860613301473517,0.8619462025316456,0.6867317995587772,0.7644272934572882
SVM (BoW),0.8854639585822381,0.8895238095238095,0.883075953356445,0.886288154357109
SVM (TF-IDF),0.9005973715651135,0.9039619651347068,0.8988339111251182,0.9013906447534766
SVM (Word2Vec-Avg),0.8812425328554361,0.8870993461967788,0.876615190671289,0.8818261076325592
LSTM (BoW),0.8843488649940263,0.8834221247257913,0.8884336589977939,0.8859208045254557
LSTM (TF-IDF),0.8794902429311031,0.8784651527016445,0.8838638512448787,0.881156232817532
LSTM (Word2Vec-Seq),0.8897650338510553,0.8850093109869647,0.8986763315474314,0.891790461297889
